Date,State Senate District,Democrat Active,Republican Active,Libertarian Active,No Party Active,Other Active,Total Active,Democratic Inactive,Republican Inactive,Libertarian Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
June 2021,State Senator District 01,7275,21585,,9450,202,38512,1098,2153,,3124,75,6450,44962
June 2021,State Senator District 02,4317,24921,,6916,155,36309,795,2252,,2285,53,5385,41694
June 2021,State Senator District 03,8280,18351,,9637,244,36512,1534,2065,,3345,82,7026,43538
June 2021,State Senator District 04,8451,15909,,10690,175,35225,1257,1558,,3568,61,6444,41669
June 2021,State Senator District 05,8808,13921,,10335,235,33299,1705,1579,,3854,91,7229,40528
June 2021,State Senator District 06,8170,14793,,10577,182,33722,1535,1627,,3686,58,6906,40628
June 2021,State Senator District 07,9731,9098,,7058,238,26125,2727,1533,,3801,84,8145,34270
June 2021,State Senator District 08,9389,9802,,8417,410,28018,2725,2253,,4549,214,9741,37759
June 2021,State Senator District 09,7681,16616,,9413,211,33921,1258,1550,,2669,77,5554,39475
June 2021,State Senator District 10,11599,17836,,14913,349,44697,1223,1627,,3574,83,6507,51204
June 2021,State Senator District 11,8405,19399,,10352,240,38396,1158,1931,,3477,85,6651,45047
June 2021,State Senator District 12,6326,19669,,7723,260,33978,1234,2321,,3194,94,6843,40821
June 2021,State Senator District 13,12620,17174,,13002,333,43129,1441,1623,,2993,97,6154,49283
June 2021,State Senator District 14,8407,15189,,10206,230,34032,1386,1531,,2963,58,5938,39970
June 2021,State Senator District 15,14242,14818,,12986,353,42399,1735,1393,,3287,84,6499,48898
June 2021,State Senator District 16,14332,7066,,8088,370,29856,3064,1091,,3134,96,7385,37241
June 2021,State Senator District 17,16957,6479,,8677,373,32486,3644,1066,,3258,148,8116,40602
June 2021,State Senator District 18,16730,5622,,7628,347,30327,3375,1063,,2739,134,7311,37638
June 2021,State Senator District 19,17092,18652,,16006,512,52262,1738,1874,,2962,116,6690,58952
June 2021,State Senator District 20,17088,16094,,13390,422,46994,1697,1550,,2595,88,5930,52924
June 2021,State Senator District 21,19854,9637,,9148,367,39006,2821,1283,,2536,136,6776,45782
June 2021,State Senator District 22,18896,16908,,14948,456,51208,2052,1812,,3495,136,7495,58703
June 2021,State Senator District 23,15186,8103,,11206,441,34936,4102,2648,,5378,252,12380,47316
June 2021,State Senator District 24,10743,15254,,11396,280,37673,1337,1513,,3553,79,6482,44155
June 2021,State Senator District 25,9063,16639,,11285,300,37287,1153,1666,,3163,71,6053,43340
June 2021,State Senator District 26,9701,12631,,12856,197,35385,1424,1185,,3692,58,6359,41744
June 2021,State Senator District 27,9974,12635,,11936,211,34756,1474,1292,,3770,58,6594,41350
June 2021,State Senator District 28,10189,13927,,10834,178,35128,1504,1335,,2871,69,5779,40907
June 2021,State Senator District 29,13992,14531,,12665,196,41384,1399,1161,,3258,53,5871,47255
June 2021,State Senator District 30,13840,11921,,11421,287,37469,2041,1439,,3100,96,6676,44145
June 2021,State Senator District 31,13516,6537,,8502,276,28831,3199,969,,3453,104,7725,36556
June 2021,State Senator District 32,10215,12104,,13637,192,36148,1246,995,,3417,55,5713,41861
June 2021,State Senator District 33,16527,8961,,9978,426,35892,2761,1352,,3172,138,7423,43315
June 2021,State Senator District 34,15445,13605,,13686,392,43128,1715,1487,,2942,112,6256,49384
June 2021,State Senator District 35,16103,9128,,11971,454,37656,2522,1307,,3530,158,7517,45173
June 2021,State Senator District 36,10266,11369,,9771,229,31635,1664,1206,,3640,67,6577,38212
June 2021,State Senator District 37,17992,10443,,11832,324,40591,2352,1152,,2993,100,6597,47188
June 2021,State Senator District 38,9987,14295,,12993,250,37525,2124,1254,,3678,73,7129,44654
June 2021,State Senator District 39,14337,13478,,13137,322,41274,1757,1532,,3396,94,6779,48053
June 2021,State Senator District 40,7556,17631,,9705,256,35148,1375,1760,,3129,65,6329,41477
June 2021,State Senator District 41,11365,11589,,8313,211,31478,2168,1395,,3197,75,6835,38313
June 2021,State Senator District 42,10298,11683,,9594,210,31785,1989,1412,,4235,107,7743,39528
June 2021,State Senator District 43,22752,4785,,9251,321,37109,5677,2117,,5006,201,13001,50110
June 2021,State Senator District 44,11859,11067,,9916,235,33077,2443,1416,,3946,86,7891,40968
June 2021,State Senator District 45,12543,7023,,10399,349,30314,4078,1533,,6254,148,12013,42327
June 2021,State Senator District 46,10972,11898,,11970,304,35144,2453,1645,,4659,124,8881,44025
June 2021,State Senator District 47,14667,14084,,13998,325,43074,2780,2230,,5222,148,10380,53454
June 2021,State Senator District 48,10798,13920,,13306,224,38248,1261,1110,,2966,58,5395,43643
June 2021,State Senator District 49,11259,12196,,12596,255,36306,1934,1275,,4358,89,7656,43962
June 2021,State Senator District 50,16102,9657,,9500,348,35607,2825,1493,,3531,120,7969,43576
September 2021,State Senator District 01,7269,21756,,9680,212,38917,1059,2042,,3031,71,6203,45120
September 2021,State Senator District 02,4317,25000,,7080,158,36555,783,2159,,2221,51,5214,41769
